11/11/2022,4:18:32 PM,27.8, -OL, -OL,29.7
11/11/2022,4:18:42 PM,28.2, -OL, -OL,29.9
11/11/2022,4:18:52 PM,28.6, -OL, -OL,30.2
11/11/2022,4:19:02 PM,28.9, -OL, -OL,30.3
11/11/2022,4:19:12 PM,29.2, -OL, -OL,30.5
11/11/2022,4:19:22 PM,29.3, -OL, -OL,30.6
11/11/2022,4:19:32 PM,29.6, -OL, -OL,30.6
11/11/2022,4:19:42 PM,29.9, -OL, -OL,30.6
11/11/2022,4:19:52 PM,30.0, -OL, -OL,30.7
11/11/2022,4:20:02 PM,30.3, -OL, -OL,30.7
11/11/2022,4:20:12 PM,30.4, -OL, -OL,30.7
11/11/2022,4:20:22 PM,30.7, -OL, -OL,30.7
11/11/2022,4:20:32 PM,30.8, -OL, -OL,30.7
11/11/2022,4:20:42 PM,30.9, -OL, -OL,30.7
11/11/2022,4:20:52 PM,31.2, -OL, -OL,30.7
11/11/2022,4:21:02 PM,31.3, -OL, -OL,30.6
11/11/2022,4:21:12 PM,31.4, -OL, -OL,30.6
11/11/2022,4:21:22 PM,31.6, -OL, -OL,30.5
11/11/2022,4:21:32 PM,31.7, -OL, -OL,30.5
11/11/2022,4:21:42 PM,32.0, -OL, -OL,30.5
11/11/2022,4:21:52 PM,32.1, -OL, -OL,30.4
11/11/2022,4:22:02 PM,32.2, -OL, -OL,30.4
11/11/2022,4:22:12 PM,32.4, -OL, -OL,30.2
11/11/2022,4:22:22 PM,32.5, -OL, -OL,30.2
11/11/2022,4:22:32 PM,32.6, -OL, -OL,30.2
11/11/2022,4:22:42 PM,32.7, -OL, -OL,30.2
11/11/2022,4:22:52 PM,32.9, -OL, -OL,30.0
11/11/2022,4:23:02 PM,33.0, -OL, -OL,30.0
11/11/2022,4:23:12 PM,33.1, -OL, -OL,30.0
11/11/2022,4:23:22 PM,33.3, -OL, -OL,30.0
11/11/2022,4:23:32 PM,33.3, -OL, -OL,30.0
11/11/2022,4:23:42 PM,33.4, -OL, -OL,30.2
11/11/2022,4:23:52 PM,33.5, -OL, -OL,30.2
11/11/2022,4:24:02 PM,33.6, -OL, -OL,30.3
11/11/2022,4:24:12 PM,33.8, -OL, -OL,30.4
11/11/2022,4:24:22 PM,33.9, -OL, -OL,30.5
11/11/2022,4:24:32 PM,34.0, -OL, -OL,30.5
11/11/2022,4:24:42 PM,34.1, -OL, -OL,30.5
11/11/2022,4:24:52 PM,34.1, -OL, -OL,30.5
11/11/2022,4:25:02 PM,34.3, -OL, -OL,30.5
11/11/2022,4:25:12 PM,34.4, -OL, -OL,30.5
11/11/2022,4:25:22 PM,34.5, -OL, -OL,30.5
11/11/2022,4:25:32 PM,34.5, -OL, -OL,30.5
11/11/2022,4:25:42 PM,34.7, -OL, -OL,30.5
11/11/2022,4:25:52 PM,34.8, -OL, -OL,30.5
11/11/2022,4:26:02 PM,34.8, -OL, -OL,30.5
11/11/2022,4:26:12 PM,34.9, -OL, -OL,30.5
11/11/2022,4:26:22 PM,35.1, -OL, -OL,30.5
11/11/2022,4:26:32 PM,35.2, -OL, -OL,30.5
11/11/2022,4:26:42 PM,35.2, -OL, -OL,30.4
11/11/2022,4:26:52 PM,35.3, -OL, -OL,30.4
11/11/2022,4:27:02 PM,35.3, -OL, -OL,30.4
11/11/2022,4:27:12 PM,35.4, -OL, -OL,30.4
11/11/2022,4:27:22 PM,35.5, -OL, -OL,30.4
11/11/2022,4:27:32 PM,35.6, -OL, -OL,30.4
11/11/2022,4:27:42 PM,35.6, -OL, -OL,30.4
11/11/2022,4:27:52 PM,35.8, -OL, -OL,30.4
11/11/2022,4:28:02 PM,35.9, -OL, -OL,30.4
11/11/2022,4:28:12 PM,35.9, -OL, -OL,30.5
11/11/2022,4:28:22 PM,36.0, -OL, -OL,30.5
11/11/2022,4:28:32 PM,36.1, -OL, -OL,30.5
11/11/2022,4:28:42 PM,36.1, -OL, -OL,30.5
11/11/2022,4:28:52 PM,36.2, -OL, -OL,30.5
11/11/2022,4:29:02 PM,36.2, -OL, -OL,30.5
11/11/2022,4:29:12 PM,36.4, -OL, -OL,30.6
11/11/2022,4:29:22 PM,36.5, -OL, -OL,30.6
11/11/2022,4:29:32 PM,36.5, -OL, -OL,30.6
11/11/2022,4:29:42 PM,36.6, -OL, -OL,30.6
11/11/2022,4:29:52 PM,36.7, -OL, -OL,30.6
11/11/2022,4:30:02 PM,36.7, -OL, -OL,30.6
11/11/2022,4:30:12 PM,36.8, -OL, -OL,30.6
11/11/2022,4:30:22 PM,36.8, -OL, -OL,30.6
11/11/2022,4:30:32 PM,36.9, -OL, -OL,30.5
11/11/2022,4:30:42 PM,36.9, -OL, -OL,30.5
11/11/2022,4:30:52 PM,37.1, -OL, -OL,30.5
11/11/2022,4:31:02 PM,37.1, -OL, -OL,30.4
11/11/2022,4:31:12 PM,37.2, -OL, -OL,30.3
11/11/2022,4:31:22 PM,37.2, -OL, -OL,30.3
11/11/2022,4:31:32 PM,37.3, -OL, -OL,30.2
11/11/2022,4:31:42 PM,37.3, -OL, -OL,30.2
11/11/2022,4:31:52 PM,37.4, -OL, -OL,30.2
11/11/2022,4:32:02 PM,37.4, -OL, -OL,30.2
11/11/2022,4:32:12 PM,37.6, -OL, -OL,30.0
11/11/2022,4:32:22 PM,37.6, -OL, -OL,30.0
11/11/2022,4:32:32 PM,37.7, -OL, -OL,30.0
11/11/2022,4:32:42 PM,37.7, -OL, -OL,30.0
11/11/2022,4:32:52 PM,37.8, -OL, -OL,30.2
11/11/2022,4:33:02 PM,37.8, -OL, -OL,30.2
11/11/2022,4:33:12 PM,37.9, -OL, -OL,30.2
11/11/2022,4:33:22 PM,37.9, -OL, -OL,30.2
