11/14/2022,11:15:22 AM,26.9, -OL, -OL,29.8
11/14/2022,11:15:32 AM,27.2, -OL, -OL,29.9
11/14/2022,11:15:42 AM,27.3, -OL, -OL,30.2
11/14/2022,11:15:52 AM,27.4, -OL, -OL,30.2
11/14/2022,11:16:02 AM,27.4, -OL, -OL,30.3
11/14/2022,11:16:12 AM,27.5, -OL, -OL,30.3
11/14/2022,11:16:22 AM,27.6, -OL, -OL,30.4
11/14/2022,11:16:32 AM,27.8, -OL, -OL,30.4
11/14/2022,11:16:42 AM,27.9, -OL, -OL,30.4
11/14/2022,11:16:52 AM,28.0, -OL, -OL,30.4
11/14/2022,11:17:02 AM,28.0, -OL, -OL,30.4
11/14/2022,11:17:12 AM,28.1, -OL, -OL,30.3
11/14/2022,11:17:22 AM,28.2, -OL, -OL,30.3
11/14/2022,11:17:32 AM,28.4, -OL, -OL,30.3
11/14/2022,11:17:42 AM,28.5, -OL, -OL,30.2
11/14/2022,11:17:52 AM,28.5, -OL, -OL,30.2
11/14/2022,11:18:02 AM,28.6, -OL, -OL,30.2
11/14/2022,11:18:12 AM,28.7, -OL, -OL,30.2
11/14/2022,11:18:22 AM,28.8, -OL, -OL,30.2
11/14/2022,11:18:32 AM,28.8, -OL, -OL,30.2
11/14/2022,11:18:42 AM,29.0, -OL, -OL,30.2
11/14/2022,11:18:52 AM,29.1, -OL, -OL,30.2
11/14/2022,11:19:02 AM,29.1, -OL, -OL,30.2
11/14/2022,11:19:12 AM,29.2, -OL, -OL,30.2
11/14/2022,11:19:22 AM,29.3, -OL, -OL,30.2
11/14/2022,11:19:32 AM,29.5, -OL, -OL,30.2
11/14/2022,11:19:42 AM,29.5, -OL, -OL,30.3
11/14/2022,11:19:52 AM,29.6, -OL, -OL,30.3
11/14/2022,11:20:02 AM,29.7, -OL, -OL,30.3
11/14/2022,11:20:12 AM,29.7, -OL, -OL,30.3
11/14/2022,11:20:22 AM,29.8, -OL, -OL,30.4
11/14/2022,11:20:32 AM,30.0, -OL, -OL,30.4
11/14/2022,11:20:42 AM,30.0, -OL, -OL,30.4
11/14/2022,11:20:52 AM,30.1, -OL, -OL,30.4
11/14/2022,11:21:02 AM,30.2, -OL, -OL,30.4
11/14/2022,11:21:12 AM,30.2, -OL, -OL,30.4
11/14/2022,11:21:22 AM,30.3, -OL, -OL,30.4
11/14/2022,11:21:32 AM,30.4, -OL, -OL,30.4
11/14/2022,11:21:42 AM,30.4, -OL, -OL,30.4
11/14/2022,11:21:52 AM,30.6, -OL, -OL,30.4
11/14/2022,11:22:02 AM,30.6, -OL, -OL,30.4
11/14/2022,11:22:12 AM,30.7, -OL, -OL,30.3
11/14/2022,11:22:22 AM,30.8, -OL, -OL,30.3
11/14/2022,11:22:32 AM,30.8, -OL, -OL,30.3
11/14/2022,11:22:42 AM,30.9, -OL, -OL,30.3
11/14/2022,11:22:52 AM,30.9, -OL, -OL,30.3
11/14/2022,11:23:02 AM,31.1, -OL, -OL,30.3
11/14/2022,11:23:12 AM,31.2, -OL, -OL,30.3
11/14/2022,11:23:22 AM,31.2, -OL, -OL,30.3
11/14/2022,11:23:32 AM,31.3, -OL, -OL,30.3
11/14/2022,11:23:42 AM,31.3, -OL, -OL,30.3
11/14/2022,11:23:52 AM,31.4, -OL, -OL,30.3
11/14/2022,11:24:02 AM,31.4, -OL, -OL,30.3
11/14/2022,11:24:12 AM,31.6, -OL, -OL,30.3
11/14/2022,11:24:22 AM,31.7, -OL, -OL,30.3
11/14/2022,11:24:32 AM,31.7, -OL, -OL,30.3
11/14/2022,11:24:42 AM,31.8, -OL, -OL,30.3
11/14/2022,11:24:52 AM,31.8, -OL, -OL,30.3
11/14/2022,11:25:02 AM,31.9, -OL, -OL,30.3
11/14/2022,11:25:12 AM,31.9, -OL, -OL,30.4
11/14/2022,11:25:22 AM,32.1, -OL, -OL,30.4
11/14/2022,11:25:32 AM,32.2, -OL, -OL,30.4
11/14/2022,11:25:42 AM,32.2, -OL, -OL,30.4
11/14/2022,11:25:52 AM,32.3, -OL, -OL,30.4
11/14/2022,11:26:02 AM,32.3, -OL, -OL,30.4
11/14/2022,11:26:12 AM,32.4, -OL, -OL,30.4
11/14/2022,11:26:22 AM,32.4, -OL, -OL,30.4
11/14/2022,11:26:32 AM,32.5, -OL, -OL,30.6
11/14/2022,11:26:42 AM,32.5, -OL, -OL,30.6
11/14/2022,11:26:52 AM,32.5, -OL, -OL,30.6
11/14/2022,11:27:02 AM,32.7, -OL, -OL,30.6
11/14/2022,11:27:12 AM,32.8, -OL, -OL,30.6
11/14/2022,11:27:22 AM,32.8, -OL, -OL,30.6
11/14/2022,11:27:32 AM,32.8, -OL, -OL,30.6
11/14/2022,11:27:42 AM,32.9, -OL, -OL,30.6
11/14/2022,11:27:52 AM,32.9, -OL, -OL,30.4
11/14/2022,11:28:02 AM,33.1, -OL, -OL,30.4
11/14/2022,11:28:12 AM,33.1, -OL, -OL,30.3
11/14/2022,11:28:22 AM,33.2, -OL, -OL,30.2
11/14/2022,11:28:32 AM,33.2, -OL, -OL,30.2
11/14/2022,11:28:42 AM,33.2, -OL, -OL,30.1
11/14/2022,11:28:52 AM,33.3, -OL, -OL,30.1
11/14/2022,11:29:02 AM,33.3, -OL, -OL,29.9
11/14/2022,11:29:12 AM,33.4, -OL, -OL,29.9
11/14/2022,11:29:22 AM,33.4, -OL, -OL,29.9
11/14/2022,11:29:32 AM,33.5, -OL, -OL,29.9
11/14/2022,11:29:42 AM,33.5, -OL, -OL,30.1
11/14/2022,11:29:52 AM,33.6, -OL, -OL,30.2
11/14/2022,11:30:02 AM,33.6, -OL, -OL,30.5
11/14/2022,11:30:12 AM,33.7, -OL, -OL,30.7
