11/14/2022,12:07:55 PM,27.2, -OL, -OL,29.8
11/14/2022,12:08:05 PM,27.4, -OL, -OL,29.9
11/14/2022,12:08:15 PM,27.4, -OL, -OL,30.0
11/14/2022,12:08:25 PM,27.5, -OL, -OL,30.0
11/14/2022,12:08:35 PM,27.5, -OL, -OL,30.0
11/14/2022,12:08:45 PM,27.6, -OL, -OL,30.0
11/14/2022,12:08:55 PM,27.7, -OL, -OL,30.0
11/14/2022,12:09:05 PM,27.7, -OL, -OL,30.0
11/14/2022,12:09:15 PM,27.8, -OL, -OL,30.0
11/14/2022,12:09:25 PM,27.8, -OL, -OL,30.0
11/14/2022,12:09:35 PM,27.9, -OL, -OL,30.0
11/14/2022,12:09:45 PM,27.9, -OL, -OL,30.0
11/14/2022,12:09:55 PM,28.1, -OL, -OL,29.9
11/14/2022,12:10:05 PM,28.1, -OL, -OL,29.9
11/14/2022,12:10:15 PM,28.1, -OL, -OL,29.9
11/14/2022,12:10:25 PM,28.2, -OL, -OL,29.9
11/14/2022,12:10:35 PM,28.2, -OL, -OL,29.9
11/14/2022,12:10:45 PM,28.3, -OL, -OL,29.9
11/14/2022,12:10:55 PM,28.3, -OL, -OL,29.9
11/14/2022,12:11:05 PM,28.4, -OL, -OL,29.9
11/14/2022,12:11:15 PM,28.4, -OL, -OL,30.0
11/14/2022,12:11:25 PM,28.6, -OL, -OL,30.0
11/14/2022,12:11:35 PM,28.6, -OL, -OL,30.0
11/14/2022,12:11:45 PM,28.6, -OL, -OL,30.1
11/14/2022,12:11:55 PM,28.7, -OL, -OL,30.1
11/14/2022,12:12:05 PM,28.7, -OL, -OL,30.1
11/14/2022,12:12:15 PM,28.8, -OL, -OL,30.1
11/14/2022,12:12:25 PM,28.8, -OL, -OL,30.2
11/14/2022,12:12:35 PM,28.9, -OL, -OL,30.2
11/14/2022,12:12:45 PM,28.9, -OL, -OL,30.2
11/14/2022,12:12:55 PM,28.9, -OL, -OL,30.2
11/14/2022,12:13:05 PM,29.0, -OL, -OL,30.3
11/14/2022,12:13:15 PM,29.0, -OL, -OL,30.3
11/14/2022,12:13:25 PM,29.2, -OL, -OL,30.3
11/14/2022,12:13:35 PM,29.2, -OL, -OL,30.3
11/14/2022,12:13:45 PM,29.2, -OL, -OL,30.4
11/14/2022,12:13:55 PM,29.3, -OL, -OL,30.4
11/14/2022,12:14:05 PM,29.3, -OL, -OL,30.4
11/14/2022,12:14:15 PM,29.4, -OL, -OL,30.4
11/14/2022,12:14:25 PM,29.4, -OL, -OL,30.4
11/14/2022,12:14:35 PM,29.4, -OL, -OL,30.4
11/14/2022,12:14:45 PM,29.5, -OL, -OL,30.4
11/14/2022,12:14:55 PM,29.5, -OL, -OL,30.4
11/14/2022,12:15:05 PM,29.6, -OL, -OL,30.4
11/14/2022,12:15:15 PM,29.6, -OL, -OL,30.4
11/14/2022,12:15:25 PM,29.6, -OL, -OL,30.3
11/14/2022,12:15:35 PM,29.7, -OL, -OL,30.3
11/14/2022,12:15:45 PM,29.7, -OL, -OL,30.3
11/14/2022,12:15:55 PM,29.7, -OL, -OL,30.3
11/14/2022,12:16:05 PM,29.8, -OL, -OL,30.3
11/14/2022,12:16:15 PM,29.8, -OL, -OL,30.3
11/14/2022,12:16:25 PM,29.8, -OL, -OL,30.3
11/14/2022,12:16:35 PM,30.0, -OL, -OL,30.3
11/14/2022,12:16:45 PM,30.0, -OL, -OL,30.3
11/14/2022,12:16:55 PM,30.0, -OL, -OL,30.3
11/14/2022,12:17:05 PM,30.1, -OL, -OL,30.3
11/14/2022,12:17:15 PM,30.1, -OL, -OL,30.3
11/14/2022,12:17:25 PM,30.1, -OL, -OL,30.3
11/14/2022,12:17:35 PM,30.2, -OL, -OL,30.3
11/14/2022,12:17:45 PM,30.2, -OL, -OL,30.3
11/14/2022,12:17:55 PM,30.2, -OL, -OL,30.3
11/14/2022,12:18:05 PM,30.3, -OL, -OL,30.3
11/14/2022,12:18:15 PM,30.3, -OL, -OL,30.3
11/14/2022,12:18:25 PM,30.3, -OL, -OL,30.3
11/14/2022,12:18:35 PM,30.4, -OL, -OL,30.3
11/14/2022,12:18:45 PM,30.4, -OL, -OL,30.3
11/14/2022,12:18:55 PM,30.4, -OL, -OL,30.3
11/14/2022,12:19:05 PM,30.6, -OL, -OL,30.3
11/14/2022,12:19:15 PM,30.6, -OL, -OL,30.3
11/14/2022,12:19:25 PM,30.6, -OL, -OL,30.3
11/14/2022,12:19:35 PM,30.7, -OL, -OL,30.3
11/14/2022,12:19:45 PM,30.7, -OL, -OL,30.4
11/14/2022,12:19:55 PM,30.7, -OL, -OL,30.4
11/14/2022,12:20:05 PM,30.8, -OL, -OL,30.4
11/14/2022,12:20:15 PM,30.8, -OL, -OL,30.4
11/14/2022,12:20:25 PM,30.8, -OL, -OL,30.4
11/14/2022,12:20:35 PM,30.9, -OL, -OL,30.4
11/14/2022,12:20:45 PM,30.9, -OL, -OL,30.4
11/14/2022,12:20:55 PM,30.9, -OL, -OL,30.4
11/14/2022,12:21:05 PM,30.9, -OL, -OL,30.3
11/14/2022,12:21:15 PM,31.1, -OL, -OL,30.3
11/14/2022,12:21:25 PM,31.1, -OL, -OL,30.2
11/14/2022,12:21:35 PM,31.1, -OL, -OL,30.2
11/14/2022,12:21:45 PM,31.1, -OL, -OL,30.1
11/14/2022,12:21:55 PM,31.2, -OL, -OL,30.1
11/14/2022,12:22:05 PM,31.2, -OL, -OL,30.0
11/14/2022,12:22:15 PM,31.2, -OL, -OL,30.0
11/14/2022,12:22:25 PM,31.2, -OL, -OL,30.0
11/14/2022,12:22:35 PM,31.3, -OL, -OL,30.0
11/14/2022,12:22:45 PM,31.3, -OL, -OL,29.9
