11/14/2022,10:23:59 AM,27.1, -OL, -OL,30.3
11/14/2022,10:24:09 AM,27.2, -OL, -OL,30.3
11/14/2022,10:24:19 AM,27.2, -OL, -OL,30.3
11/14/2022,10:24:29 AM,27.2, -OL, -OL,30.3
11/14/2022,10:24:39 AM,27.3, -OL, -OL,30.3
11/14/2022,10:24:49 AM,27.3, -OL, -OL,30.3
11/14/2022,10:24:59 AM,27.3, -OL, -OL,30.3
11/14/2022,10:25:09 AM,27.4, -OL, -OL,30.3
11/14/2022,10:25:19 AM,27.4, -OL, -OL,30.2
11/14/2022,10:25:29 AM,27.4, -OL, -OL,30.2
11/14/2022,10:25:39 AM,27.6, -OL, -OL,30.1
11/14/2022,10:25:49 AM,27.6, -OL, -OL,30.1
11/14/2022,10:25:59 AM,27.6, -OL, -OL,29.9
11/14/2022,10:26:09 AM,27.7, -OL, -OL,29.9
11/14/2022,10:26:19 AM,27.7, -OL, -OL,29.8
11/14/2022,10:26:29 AM,27.7, -OL, -OL,29.8
11/14/2022,10:26:39 AM,27.7, -OL, -OL,29.7
11/14/2022,10:26:49 AM,27.8, -OL, -OL,29.7
11/14/2022,10:26:59 AM,27.8, -OL, -OL,29.7
11/14/2022,10:27:09 AM,27.8, -OL, -OL,29.7
11/14/2022,10:27:19 AM,27.8, -OL, -OL,29.8
11/14/2022,10:27:29 AM,27.9, -OL, -OL,29.8
11/14/2022,10:27:39 AM,27.9, -OL, -OL,29.8
11/14/2022,10:27:49 AM,27.9, -OL, -OL,29.8
11/14/2022,10:27:59 AM,28.0, -OL, -OL,29.9
11/14/2022,10:28:09 AM,28.0, -OL, -OL,29.9
11/14/2022,10:28:19 AM,28.0, -OL, -OL,29.9
11/14/2022,10:28:29 AM,28.2, -OL, -OL,29.9
11/14/2022,10:28:39 AM,28.2, -OL, -OL,30.1
11/14/2022,10:28:49 AM,28.2, -OL, -OL,30.1
11/14/2022,10:28:59 AM,28.3, -OL, -OL,30.1
11/14/2022,10:29:09 AM,28.3, -OL, -OL,30.1
11/14/2022,10:29:19 AM,28.3, -OL, -OL,30.1
11/14/2022,10:29:29 AM,28.3, -OL, -OL,30.2
11/14/2022,10:29:39 AM,28.4, -OL, -OL,30.2
11/14/2022,10:29:49 AM,28.4, -OL, -OL,30.2
11/14/2022,10:29:59 AM,28.4, -OL, -OL,30.2
11/14/2022,10:30:09 AM,28.5, -OL, -OL,30.2
11/14/2022,10:30:19 AM,28.5, -OL, -OL,30.2
11/14/2022,10:30:29 AM,28.5, -OL, -OL,30.2
11/14/2022,10:30:39 AM,28.5, -OL, -OL,30.3
11/14/2022,10:30:49 AM,28.6, -OL, -OL,30.3
11/14/2022,10:30:59 AM,28.6, -OL, -OL,30.3
11/14/2022,10:31:09 AM,28.6, -OL, -OL,30.3
11/14/2022,10:31:19 AM,28.6, -OL, -OL,30.3
11/14/2022,10:31:29 AM,28.8, -OL, -OL,30.3
11/14/2022,10:31:39 AM,28.8, -OL, -OL,30.4
11/14/2022,10:31:49 AM,28.8, -OL, -OL,30.4
11/14/2022,10:31:59 AM,28.8, -OL, -OL,30.4
11/14/2022,10:32:09 AM,28.9, -OL, -OL,30.4
11/14/2022,10:32:19 AM,28.9, -OL, -OL,30.4
11/14/2022,10:32:29 AM,28.9, -OL, -OL,30.4
11/14/2022,10:32:39 AM,28.9, -OL, -OL,30.4
11/14/2022,10:32:49 AM,29.0, -OL, -OL,30.4
11/14/2022,10:32:59 AM,29.0, -OL, -OL,30.3
11/14/2022,10:33:09 AM,29.0, -OL, -OL,30.3
11/14/2022,10:33:19 AM,29.0, -OL, -OL,30.2
11/14/2022,10:33:29 AM,29.0, -OL, -OL,30.2
11/14/2022,10:33:39 AM,29.1, -OL, -OL,30.2
11/14/2022,10:33:49 AM,29.1, -OL, -OL,30.2
11/14/2022,10:33:59 AM,29.1, -OL, -OL,30.2
11/14/2022,10:34:09 AM,29.1, -OL, -OL,30.1
11/14/2022,10:34:19 AM,29.1, -OL, -OL,30.1
11/14/2022,10:34:29 AM,29.2, -OL, -OL,30.1
11/14/2022,10:34:39 AM,29.2, -OL, -OL,30.1
11/14/2022,10:34:49 AM,29.2, -OL, -OL,30.1
11/14/2022,10:34:59 AM,29.2, -OL, -OL,30.1
11/14/2022,10:35:09 AM,29.3, -OL, -OL,30.1
11/14/2022,10:35:19 AM,29.3, -OL, -OL,30.1
11/14/2022,10:35:29 AM,29.3, -OL, -OL,30.1
11/14/2022,10:35:39 AM,29.3, -OL, -OL,30.1
11/14/2022,10:35:49 AM,29.3, -OL, -OL,30.1
11/14/2022,10:35:59 AM,29.5, -OL, -OL,30.1
11/14/2022,10:36:09 AM,29.5, -OL, -OL,30.1
11/14/2022,10:36:19 AM,29.5, -OL, -OL,30.1
11/14/2022,10:36:29 AM,29.5, -OL, -OL,30.1
11/14/2022,10:36:39 AM,29.5, -OL, -OL,30.1
11/14/2022,10:36:49 AM,29.5, -OL, -OL,30.1
11/14/2022,10:36:59 AM,29.6, -OL, -OL,30.1
11/14/2022,10:37:09 AM,29.6, -OL, -OL,30.1
11/14/2022,10:37:19 AM,29.6, -OL, -OL,30.1
11/14/2022,10:37:29 AM,29.6, -OL, -OL,30.1
11/14/2022,10:37:39 AM,29.6, -OL, -OL,30.1
11/14/2022,10:37:49 AM,29.7, -OL, -OL,30.2
11/14/2022,10:37:59 AM,29.7, -OL, -OL,30.2
11/14/2022,10:38:09 AM,29.7, -OL, -OL,30.2
