gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2239053929	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24405692	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	Gasteracantha cancriformis		SPECIES	Gasteracantha cancriformis (Linnaeus, 1758)	EC		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.991221	-77.818503	1.0						2019-04-29T00:00:00Z	29	4	2019	2158546	2158546	HUMAN_OBSERVATION	iNaturalist	Observations	24405692				CC_BY_NC_4_0	Kevin Misael Paucar Ruiz	Kevin Misael Paucar Ruiz			2019-05-07T19:53:11.416Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2239037806	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24335430	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	Gasteracantha cancriformis		SPECIES	Gasteracantha cancriformis (Linnaeus, 1758)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.091799	-80.262068	29891.0						2007-01-31T00:00:00Z	31	1	2007	2158546	2158546	HUMAN_OBSERVATION	iNaturalist	Observations	24335430			2019-05-02T01:30:43Z	CC_BY_NC_4_0	karen33317	karen33317			2019-05-07T19:53:01.713Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2239034040	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24324594	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	Gasteracantha cancriformis		SPECIES	Gasteracantha cancriformis (Linnaeus, 1758)	MX		28eb1a3f-1c15-4a95-931a-4af90ecb574d	28.753334	-111.516388							2019-05-01T12:09:17Z	1	5	2019	2158546	2158546	HUMAN_OBSERVATION	iNaturalist	Observations	24324594			2019-05-01T22:49:45Z	CC_BY_NC_4_0	Francisco Javier Campas Gómez	Francisco Javier Campas Gómez			2019-05-07T19:52:59.333Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2239029933	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24307603	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	Gasteracantha cancriformis		SPECIES	Gasteracantha cancriformis (Linnaeus, 1758)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.091938	-80.187045	5.0						2019-05-01T15:15:46Z	1	5	2019	2158546	2158546	HUMAN_OBSERVATION	iNaturalist	Observations	24307603			2019-05-01T19:19:51Z	CC_BY_NC_4_0	ashleecubas0602	ashleecubas0602			2019-05-07T19:52:56.528Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2239028302	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24291831	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	Gasteracantha cancriformis		SPECIES	Gasteracantha cancriformis (Linnaeus, 1758)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.713586	-97.323696	66.0						2019-04-29T09:02:41Z	29	4	2019	2158546	2158546	HUMAN_OBSERVATION	iNaturalist	Observations	24291831			2019-05-01T23:31:09Z	CC_BY_NC_4_0	Cecily Trujillo	Cecily Trujillo			2019-05-07T19:52:55.435Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2239006995	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24207570	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	Gasteracantha cancriformis		SPECIES	Gasteracantha cancriformis (Linnaeus, 1758)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.713403	-97.32498	16.0						2019-04-30T13:54:33Z	30	4	2019	2158546	2158546	HUMAN_OBSERVATION	iNaturalist	Observations	24207570			2019-05-01T14:10:14Z	CC_BY_NC_4_0	bkretschmer17	bkretschmer17			2019-05-07T19:52:41.036Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2239006145	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24201315	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	Gasteracantha cancriformis		SPECIES	Gasteracantha cancriformis (Linnaeus, 1758)	MX		28eb1a3f-1c15-4a95-931a-4af90ecb574d	16.193657	-92.272072							2017-12-28T15:06:00Z	28	12	2017	2158546	2158546	HUMAN_OBSERVATION	iNaturalist	Observations	24201315			2019-04-30T17:44:48Z	CC_BY_NC_4_0	Ricardo González	Ricardo González			2019-05-07T19:52:40.678Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2239004975	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24207199	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	Gasteracantha cancriformis		SPECIES	Gasteracantha cancriformis (Linnaeus, 1758)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.091721	-80.187297	65.0						2019-04-30T14:50:38Z	30	4	2019	2158546	2158546	HUMAN_OBSERVATION	iNaturalist	Observations	24207199			2019-04-30T18:50:48Z	CC_BY_NC_4_0	sofiaraab	sofiaraab			2019-05-07T19:52:39.568Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2239003073	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24199830	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	Gasteracantha cancriformis		SPECIES	Gasteracantha cancriformis (Linnaeus, 1758)	MX		28eb1a3f-1c15-4a95-931a-4af90ecb574d	16.194212	-92.266449							2017-12-28T14:59:00Z	28	12	2017	2158546	2158546	HUMAN_OBSERVATION	iNaturalist	Observations	24199830			2019-04-30T17:27:31Z	CC_BY_NC_4_0	Ricardo González	Ricardo González			2019-05-07T19:52:39.079Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2238999839	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24183633	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	Gasteracantha cancriformis		SPECIES	Gasteracantha cancriformis (Linnaeus, 1758)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	29.714003	-95.400381	22.0						2019-04-30T09:33:31Z	30	4	2019	2158546	2158546	HUMAN_OBSERVATION	iNaturalist	Observations	24183633			2019-04-30T14:41:04Z	CC_BY_NC_4_0	Jenn Drummond	Jenn Drummond			2019-05-07T19:52:37.297Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2238990083	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24135422	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	Gasteracantha cancriformis		SPECIES	Gasteracantha cancriformis (Linnaeus, 1758)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.774117	-80.217644							2019-04-29T16:54:46Z	29	4	2019	2158546	2158546	HUMAN_OBSERVATION	iNaturalist	Observations	24135422			2019-04-30T04:01:03Z	CC_BY_NC_4_0	britz	britz			2019-05-07T19:52:31.207Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2238989893	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24129664	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	Gasteracantha cancriformis		SPECIES	Gasteracantha cancriformis (Linnaeus, 1758)	MX		28eb1a3f-1c15-4a95-931a-4af90ecb574d	16.760799	-93.090634	265.0						2019-04-28T22:35:00Z	28	4	2019	2158546	2158546	HUMAN_OBSERVATION	iNaturalist	Observations	24129664			2019-04-30T03:37:49Z	CC_BY_NC_4_0	prepa3tgz-11bwv518	prepa3tgz-11bwv518			2019-05-07T19:52:30.871Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2238984627	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24112221	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Gasteracantha	Gasteracantha cancriformis		SPECIES	Gasteracantha cancriformis (Linnaeus, 1758)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.608013	-80.381475	29936.0						2019-04-29T17:04:49Z	29	4	2019	2158546	2158546	HUMAN_OBSERVATION	iNaturalist	Observations	24112221			2019-04-30T02:26:59Z	CC_BY_NC_4_0	esonvk	esonvk			2019-05-07T19:52:28.122Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
