11/16/2022,3:49:36 PM,27.1, -OL, -OL,30.3
11/16/2022,3:49:46 PM,27.3, -OL, -OL,30.4
11/16/2022,3:49:56 PM,27.4, -OL, -OL,30.4
11/16/2022,3:50:06 PM,27.5, -OL, -OL,30.4
11/16/2022,3:50:16 PM,27.6, -OL, -OL,30.4
11/16/2022,3:50:26 PM,27.8, -OL, -OL,30.4
11/16/2022,3:50:36 PM,28.1, -OL, -OL,30.4
11/16/2022,3:50:46 PM,28.2, -OL, -OL,30.4
11/16/2022,3:50:56 PM,28.3, -OL, -OL,30.4
11/16/2022,3:51:06 PM,28.4, -OL, -OL,30.4
11/16/2022,3:51:16 PM,28.6, -OL, -OL,30.4
11/16/2022,3:51:26 PM,28.7, -OL, -OL,30.3
11/16/2022,3:51:36 PM,28.9, -OL, -OL,30.3
11/16/2022,3:51:46 PM,29.1, -OL, -OL,30.3
11/16/2022,3:51:56 PM,29.2, -OL, -OL,30.3
11/16/2022,3:52:06 PM,29.3, -OL, -OL,30.2
11/16/2022,3:52:16 PM,29.4, -OL, -OL,30.2
11/16/2022,3:52:26 PM,29.6, -OL, -OL,30.2
11/16/2022,3:52:36 PM,29.7, -OL, -OL,30.2
11/16/2022,3:52:46 PM,29.8, -OL, -OL,30.2
11/16/2022,3:52:56 PM,29.9, -OL, -OL,30.2
11/16/2022,3:53:06 PM,30.1, -OL, -OL,30.2
11/16/2022,3:53:16 PM,30.2, -OL, -OL,30.2
11/16/2022,3:53:26 PM,30.3, -OL, -OL,30.2
11/16/2022,3:53:36 PM,30.5, -OL, -OL,30.2
11/16/2022,3:53:46 PM,30.6, -OL, -OL,30.2
11/16/2022,3:53:56 PM,30.7, -OL, -OL,30.3
11/16/2022,3:54:06 PM,30.8, -OL, -OL,30.3
11/16/2022,3:54:16 PM,31.0, -OL, -OL,30.3
11/16/2022,3:54:26 PM,31.0, -OL, -OL,30.4
11/16/2022,3:54:36 PM,31.1, -OL, -OL,30.4
11/16/2022,3:54:46 PM,31.2, -OL, -OL,30.4
11/16/2022,3:54:56 PM,31.3, -OL, -OL,30.4
11/16/2022,3:55:06 PM,31.5, -OL, -OL,30.6
11/16/2022,3:55:16 PM,31.6, -OL, -OL,30.6
11/16/2022,3:55:26 PM,31.7, -OL, -OL,30.6
11/16/2022,3:55:36 PM,31.8, -OL, -OL,30.7
11/16/2022,3:55:46 PM,32.0, -OL, -OL,30.7
11/16/2022,3:55:56 PM,32.1, -OL, -OL,30.7
11/16/2022,3:56:06 PM,32.1, -OL, -OL,30.7
11/16/2022,3:56:16 PM,32.2, -OL, -OL,30.7
11/16/2022,3:56:26 PM,32.3, -OL, -OL,30.7
11/16/2022,3:56:36 PM,32.5, -OL, -OL,30.6
11/16/2022,3:56:46 PM,32.5, -OL, -OL,30.6
11/16/2022,3:56:56 PM,32.6, -OL, -OL,30.4
11/16/2022,3:57:06 PM,32.7, -OL, -OL,30.4
11/16/2022,3:57:16 PM,32.8, -OL, -OL,30.3
11/16/2022,3:57:26 PM,32.8, -OL, -OL,30.3
11/16/2022,3:57:36 PM,32.9, -OL, -OL,30.2
11/16/2022,3:57:46 PM,33.1, -OL, -OL,30.2
11/16/2022,3:57:56 PM,33.1, -OL, -OL,30.2
11/16/2022,3:58:06 PM,33.2, -OL, -OL,30.1
11/16/2022,3:58:16 PM,33.3, -OL, -OL,30.1
11/16/2022,3:58:26 PM,33.3, -OL, -OL,30.1
11/16/2022,3:58:36 PM,33.4, -OL, -OL,30.1
11/16/2022,3:58:46 PM,33.4, -OL, -OL,30.1
11/16/2022,3:58:56 PM,33.6, -OL, -OL,30.1
11/16/2022,3:59:06 PM,33.6, -OL, -OL,30.1
11/16/2022,3:59:16 PM,33.7, -OL, -OL,30.1
11/16/2022,3:59:26 PM,33.8, -OL, -OL,30.1
11/16/2022,3:59:36 PM,33.8, -OL, -OL,30.1
11/16/2022,3:59:46 PM,33.9, -OL, -OL,30.1
11/16/2022,3:59:56 PM,33.9, -OL, -OL,30.1
11/16/2022,4:00:06 PM,34.1, -OL, -OL,30.1
11/16/2022,4:00:16 PM,34.1, -OL, -OL,30.1
11/16/2022,4:00:26 PM,34.2, -OL, -OL,30.1
11/16/2022,4:00:36 PM,34.2, -OL, -OL,30.1
11/16/2022,4:00:46 PM,34.3, -OL, -OL,30.1
11/16/2022,4:00:56 PM,34.3, -OL, -OL,30.1
11/16/2022,4:01:06 PM,34.4, -OL, -OL,30.1
11/16/2022,4:01:16 PM,34.4, -OL, -OL,30.1
11/16/2022,4:01:26 PM,34.6, -OL, -OL,30.1
11/16/2022,4:01:36 PM,34.6, -OL, -OL,30.1
11/16/2022,4:01:46 PM,34.7, -OL, -OL,30.1
11/16/2022,4:01:56 PM,34.7, -OL, -OL,30.1
11/16/2022,4:02:06 PM,34.7, -OL, -OL,30.1
11/16/2022,4:02:16 PM,34.8, -OL, -OL,30.1
11/16/2022,4:02:26 PM,34.8, -OL, -OL,30.1
11/16/2022,4:02:36 PM,34.9, -OL, -OL,30.1
11/16/2022,4:02:46 PM,34.9, -OL, -OL,30.1
11/16/2022,4:02:56 PM,34.9, -OL, -OL,30.1
11/16/2022,4:03:06 PM,35.1, -OL, -OL,30.1
11/16/2022,4:03:16 PM,35.1, -OL, -OL,30.2
11/16/2022,4:03:26 PM,35.2, -OL, -OL,30.2
11/16/2022,4:03:36 PM,35.2, -OL, -OL,30.2
11/16/2022,4:03:46 PM,35.2, -OL, -OL,30.2
11/16/2022,4:03:56 PM,35.3, -OL, -OL,30.2
11/16/2022,4:04:06 PM,35.3, -OL, -OL,30.2
11/16/2022,4:04:16 PM,35.3, -OL, -OL,30.2
11/16/2022,4:04:26 PM,35.4, -OL, -OL,30.2
