11/14/2022,2:10:53 PM,27.0, -OL, -OL,29.8
11/14/2022,2:11:03 PM,27.2, -OL, -OL,29.9
11/14/2022,2:11:13 PM,27.2, -OL, -OL,30.0
11/14/2022,2:11:23 PM,27.3, -OL, -OL,30.1
11/14/2022,2:11:33 PM,27.4, -OL, -OL,30.1
11/14/2022,2:11:43 PM,27.4, -OL, -OL,30.1
11/14/2022,2:11:53 PM,27.5, -OL, -OL,30.3
11/14/2022,2:12:03 PM,27.6, -OL, -OL,30.3
11/14/2022,2:12:13 PM,27.6, -OL, -OL,30.3
11/14/2022,2:12:23 PM,27.7, -OL, -OL,30.3
11/14/2022,2:12:33 PM,27.7, -OL, -OL,30.3
11/14/2022,2:12:43 PM,27.9, -OL, -OL,30.1
11/14/2022,2:12:53 PM,28.0, -OL, -OL,30.1
11/14/2022,2:13:03 PM,28.0, -OL, -OL,30.0
11/14/2022,2:13:13 PM,28.1, -OL, -OL,30.0
11/14/2022,2:13:23 PM,28.1, -OL, -OL,29.9
11/14/2022,2:13:33 PM,28.2, -OL, -OL,29.9
11/14/2022,2:13:43 PM,28.2, -OL, -OL,29.9
11/14/2022,2:13:53 PM,28.3, -OL, -OL,29.9
11/14/2022,2:14:03 PM,28.3, -OL, -OL,29.9
11/14/2022,2:14:13 PM,28.4, -OL, -OL,29.9
11/14/2022,2:14:23 PM,28.4, -OL, -OL,29.9
11/14/2022,2:14:33 PM,28.6, -OL, -OL,29.9
11/14/2022,2:14:43 PM,28.6, -OL, -OL,29.9
11/14/2022,2:14:53 PM,28.7, -OL, -OL,29.9
11/14/2022,2:15:03 PM,28.7, -OL, -OL,29.9
11/14/2022,2:15:13 PM,28.8, -OL, -OL,29.9
11/14/2022,2:15:23 PM,28.8, -OL, -OL,29.9
11/14/2022,2:15:33 PM,28.9, -OL, -OL,29.9
11/14/2022,2:15:43 PM,28.9, -OL, -OL,29.9
11/14/2022,2:15:53 PM,28.9, -OL, -OL,30.0
11/14/2022,2:16:03 PM,29.1, -OL, -OL,30.0
11/14/2022,2:16:13 PM,29.1, -OL, -OL,30.0
11/14/2022,2:16:23 PM,29.2, -OL, -OL,30.0
11/14/2022,2:16:33 PM,29.2, -OL, -OL,30.0
11/14/2022,2:16:43 PM,29.3, -OL, -OL,30.1
11/14/2022,2:16:53 PM,29.3, -OL, -OL,30.1
11/14/2022,2:17:03 PM,29.4, -OL, -OL,30.1
11/14/2022,2:17:13 PM,29.4, -OL, -OL,30.1
11/14/2022,2:17:23 PM,29.4, -OL, -OL,30.1
11/14/2022,2:17:33 PM,29.6, -OL, -OL,30.2
11/14/2022,2:17:43 PM,29.6, -OL, -OL,30.2
11/14/2022,2:17:53 PM,29.7, -OL, -OL,30.2
11/14/2022,2:18:03 PM,29.7, -OL, -OL,30.2
11/14/2022,2:18:13 PM,29.8, -OL, -OL,30.2
11/14/2022,2:18:23 PM,29.8, -OL, -OL,30.3
11/14/2022,2:18:33 PM,29.8, -OL, -OL,30.3
11/14/2022,2:18:43 PM,29.9, -OL, -OL,30.3
11/14/2022,2:18:53 PM,29.9, -OL, -OL,30.3
11/14/2022,2:19:03 PM,30.0, -OL, -OL,30.3
11/14/2022,2:19:13 PM,30.0, -OL, -OL,30.3
11/14/2022,2:19:23 PM,30.0, -OL, -OL,30.3
11/14/2022,2:19:33 PM,30.1, -OL, -OL,30.3
11/14/2022,2:19:43 PM,30.1, -OL, -OL,30.3
11/14/2022,2:19:53 PM,30.2, -OL, -OL,30.3
11/14/2022,2:20:03 PM,30.2, -OL, -OL,30.3
11/14/2022,2:20:13 PM,30.2, -OL, -OL,30.3
11/14/2022,2:20:23 PM,30.3, -OL, -OL,30.3
11/14/2022,2:20:33 PM,30.3, -OL, -OL,30.2
11/14/2022,2:20:43 PM,30.3, -OL, -OL,30.2
11/14/2022,2:20:53 PM,30.5, -OL, -OL,30.2
11/14/2022,2:21:03 PM,30.5, -OL, -OL,30.2
11/14/2022,2:21:13 PM,30.5, -OL, -OL,30.2
11/14/2022,2:21:23 PM,30.6, -OL, -OL,30.2
11/14/2022,2:21:33 PM,30.6, -OL, -OL,30.2
11/14/2022,2:21:43 PM,30.6, -OL, -OL,30.2
11/14/2022,2:21:53 PM,30.7, -OL, -OL,30.2
11/14/2022,2:22:03 PM,30.7, -OL, -OL,30.2
11/14/2022,2:22:13 PM,30.7, -OL, -OL,30.2
11/14/2022,2:22:23 PM,30.8, -OL, -OL,30.2
11/14/2022,2:22:33 PM,30.8, -OL, -OL,30.2
11/14/2022,2:22:43 PM,30.8, -OL, -OL,30.2
11/14/2022,2:22:53 PM,30.9, -OL, -OL,30.2
11/14/2022,2:23:03 PM,30.9, -OL, -OL,30.2
11/14/2022,2:23:13 PM,30.9, -OL, -OL,30.2
11/14/2022,2:23:23 PM,30.9, -OL, -OL,30.2
11/14/2022,2:23:33 PM,31.1, -OL, -OL,30.2
11/14/2022,2:23:43 PM,31.1, -OL, -OL,30.2
11/14/2022,2:23:53 PM,31.1, -OL, -OL,30.2
11/14/2022,2:24:03 PM,31.2, -OL, -OL,30.2
11/14/2022,2:24:13 PM,31.2, -OL, -OL,30.2
11/14/2022,2:24:23 PM,31.2, -OL, -OL,30.2
11/14/2022,2:24:33 PM,31.3, -OL, -OL,30.2
11/14/2022,2:24:43 PM,31.3, -OL, -OL,30.2
11/14/2022,2:24:53 PM,31.3, -OL, -OL,30.3
11/14/2022,2:25:03 PM,31.4, -OL, -OL,30.3
11/14/2022,2:25:13 PM,31.4, -OL, -OL,30.3
11/14/2022,2:25:23 PM,31.4, -OL, -OL,30.3
11/14/2022,2:25:33 PM,31.4, -OL, -OL,30.3
11/14/2022,2:25:43 PM,31.6, -OL, -OL,30.3
