11/14/2022,10:47:11 AM,27.1, -OL, -OL,29.6
11/14/2022,10:47:21 AM,27.2, -OL, -OL,29.8
11/14/2022,10:47:31 AM,27.3, -OL, -OL,30.0
11/14/2022,10:47:41 AM,27.4, -OL, -OL,30.1
11/14/2022,10:47:51 AM,27.4, -OL, -OL,30.1
11/14/2022,10:48:01 AM,27.6, -OL, -OL,30.2
11/14/2022,10:48:11 AM,27.7, -OL, -OL,30.2
11/14/2022,10:48:21 AM,27.7, -OL, -OL,30.2
11/14/2022,10:48:31 AM,27.8, -OL, -OL,30.2
11/14/2022,10:48:41 AM,27.9, -OL, -OL,30.2
11/14/2022,10:48:51 AM,27.9, -OL, -OL,30.2
11/14/2022,10:49:01 AM,28.1, -OL, -OL,30.2
11/14/2022,10:49:11 AM,28.1, -OL, -OL,30.2
11/14/2022,10:49:21 AM,28.2, -OL, -OL,30.2
11/14/2022,10:49:31 AM,28.2, -OL, -OL,30.2
11/14/2022,10:49:41 AM,28.3, -OL, -OL,30.2
11/14/2022,10:49:51 AM,28.3, -OL, -OL,30.2
11/14/2022,10:50:01 AM,28.4, -OL, -OL,30.4
11/14/2022,10:50:11 AM,28.4, -OL, -OL,30.4
11/14/2022,10:50:21 AM,28.6, -OL, -OL,30.4
11/14/2022,10:50:31 AM,28.6, -OL, -OL,30.4
11/14/2022,10:50:41 AM,28.7, -OL, -OL,30.4
11/14/2022,10:50:51 AM,28.7, -OL, -OL,30.4
11/14/2022,10:51:01 AM,28.8, -OL, -OL,30.4
11/14/2022,10:51:11 AM,28.8, -OL, -OL,30.4
11/14/2022,10:51:21 AM,28.8, -OL, -OL,30.4
11/14/2022,10:51:31 AM,28.9, -OL, -OL,30.4
11/14/2022,10:51:41 AM,29.1, -OL, -OL,30.4
11/14/2022,10:51:51 AM,29.1, -OL, -OL,30.2
11/14/2022,10:52:01 AM,29.1, -OL, -OL,30.2
11/14/2022,10:52:11 AM,29.2, -OL, -OL,30.2
11/14/2022,10:52:21 AM,29.2, -OL, -OL,30.2
11/14/2022,10:52:31 AM,29.3, -OL, -OL,30.2
11/14/2022,10:52:41 AM,29.3, -OL, -OL,30.2
11/14/2022,10:52:51 AM,29.3, -OL, -OL,30.2
11/14/2022,10:53:01 AM,29.4, -OL, -OL,30.2
11/14/2022,10:53:11 AM,29.4, -OL, -OL,30.2
11/14/2022,10:53:21 AM,29.6, -OL, -OL,30.2
11/14/2022,10:53:31 AM,29.6, -OL, -OL,30.2
11/14/2022,10:53:41 AM,29.7, -OL, -OL,30.2
11/14/2022,10:53:51 AM,29.7, -OL, -OL,30.2
11/14/2022,10:54:01 AM,29.8, -OL, -OL,30.2
11/14/2022,10:54:11 AM,29.8, -OL, -OL,30.2
11/14/2022,10:54:21 AM,29.8, -OL, -OL,30.2
11/14/2022,10:54:31 AM,29.9, -OL, -OL,30.2
11/14/2022,10:54:41 AM,29.9, -OL, -OL,30.2
11/14/2022,10:54:51 AM,29.9, -OL, -OL,30.2
11/14/2022,10:55:01 AM,30.0, -OL, -OL,30.2
11/14/2022,10:55:11 AM,30.0, -OL, -OL,30.2
11/14/2022,10:55:21 AM,30.1, -OL, -OL,30.2
11/14/2022,10:55:31 AM,30.1, -OL, -OL,30.2
11/14/2022,10:55:41 AM,30.1, -OL, -OL,30.4
11/14/2022,10:55:51 AM,30.3, -OL, -OL,30.4
11/14/2022,10:56:01 AM,30.3, -OL, -OL,30.4
11/14/2022,10:56:11 AM,30.4, -OL, -OL,30.4
11/14/2022,10:56:21 AM,30.4, -OL, -OL,30.4
11/14/2022,10:56:31 AM,30.4, -OL, -OL,30.4
11/14/2022,10:56:41 AM,30.5, -OL, -OL,30.4
11/14/2022,10:56:51 AM,30.5, -OL, -OL,30.4
11/14/2022,10:57:01 AM,30.5, -OL, -OL,30.4
11/14/2022,10:57:11 AM,30.6, -OL, -OL,30.3
11/14/2022,10:57:21 AM,30.6, -OL, -OL,30.3
11/14/2022,10:57:31 AM,30.6, -OL, -OL,30.3
11/14/2022,10:57:41 AM,30.7, -OL, -OL,30.3
11/14/2022,10:57:51 AM,30.7, -OL, -OL,30.1
11/14/2022,10:58:01 AM,30.7, -OL, -OL,30.1
11/14/2022,10:58:11 AM,30.8, -OL, -OL,30.1
11/14/2022,10:58:21 AM,30.8, -OL, -OL,30.1
11/14/2022,10:58:31 AM,30.8, -OL, -OL,30.1
11/14/2022,10:58:41 AM,31.0, -OL, -OL,30.1
11/14/2022,10:58:51 AM,31.0, -OL, -OL,30.1
11/14/2022,10:59:01 AM,31.0, -OL, -OL,30.1
