11/10/2022,7:24:15 PM,27.8, -OL, -OL,29.9
11/10/2022,7:24:25 PM,27.9, -OL, -OL,29.9
11/10/2022,7:24:35 PM,27.9, -OL, -OL,30.0
11/10/2022,7:24:45 PM,28.0, -OL, -OL,30.0
11/10/2022,7:24:55 PM,28.0, -OL, -OL,30.0
11/10/2022,7:25:05 PM,28.0, -OL, -OL,30.0
11/10/2022,7:25:15 PM,28.1, -OL, -OL,30.0
11/10/2022,7:25:25 PM,28.1, -OL, -OL,30.0
11/10/2022,7:25:35 PM,28.1, -OL, -OL,29.9
11/10/2022,7:25:45 PM,28.2, -OL, -OL,29.9
11/10/2022,7:25:55 PM,28.2, -OL, -OL,29.7
11/10/2022,7:26:05 PM,28.2, -OL, -OL,29.7
11/10/2022,7:26:15 PM,28.3, -OL, -OL,29.6
11/10/2022,7:26:25 PM,28.3, -OL, -OL,29.6
11/10/2022,7:26:35 PM,28.3, -OL, -OL,29.5
11/10/2022,7:26:45 PM,28.3, -OL, -OL,29.5
11/10/2022,7:26:55 PM,28.5, -OL, -OL,29.5
11/10/2022,7:27:05 PM,28.5, -OL, -OL,29.5
11/10/2022,7:27:15 PM,28.5, -OL, -OL,29.4
11/10/2022,7:27:25 PM,28.5, -OL, -OL,29.4
11/10/2022,7:27:35 PM,28.5, -OL, -OL,29.4
11/10/2022,7:27:45 PM,28.6, -OL, -OL,29.4
11/10/2022,7:27:55 PM,28.6, -OL, -OL,29.4
11/10/2022,7:28:05 PM,28.6, -OL, -OL,29.5
11/10/2022,7:28:15 PM,28.6, -OL, -OL,29.7
11/10/2022,7:28:25 PM,28.7, -OL, -OL,29.8
11/10/2022,7:28:35 PM,28.7, -OL, -OL,29.9
11/10/2022,7:28:45 PM,28.7, -OL, -OL,30.0
11/10/2022,7:28:55 PM,28.8, -OL, -OL,30.0
11/10/2022,7:29:05 PM,28.8, -OL, -OL,30.2
11/10/2022,7:29:15 PM,28.8, -OL, -OL,30.2
11/10/2022,7:29:25 PM,28.8, -OL, -OL,30.2
11/10/2022,7:29:35 PM,28.9, -OL, -OL,30.3
11/10/2022,7:29:45 PM,28.9, -OL, -OL,30.3
