11/14/2022,11:45:40 AM,27.0, -OL, -OL,30.2
11/14/2022,11:45:50 AM,27.0, -OL, -OL,30.2
11/14/2022,11:46:00 AM,27.0, -OL, -OL,30.1
11/14/2022,11:46:10 AM,27.2, -OL, -OL,30.1
11/14/2022,11:46:20 AM,27.2, -OL, -OL,30.1
11/14/2022,11:46:30 AM,27.2, -OL, -OL,30.1
11/14/2022,11:46:40 AM,27.3, -OL, -OL,30.1
11/14/2022,11:46:50 AM,27.3, -OL, -OL,30.1
11/14/2022,11:47:00 AM,27.3, -OL, -OL,30.1
11/14/2022,11:47:10 AM,27.4, -OL, -OL,30.1
11/14/2022,11:47:20 AM,27.4, -OL, -OL,30.1
11/14/2022,11:47:30 AM,27.4, -OL, -OL,30.2
11/14/2022,11:47:40 AM,27.5, -OL, -OL,30.2
11/14/2022,11:47:50 AM,27.5, -OL, -OL,30.2
11/14/2022,11:48:00 AM,27.5, -OL, -OL,30.3
11/14/2022,11:48:10 AM,27.6, -OL, -OL,30.3
11/14/2022,11:48:20 AM,27.6, -OL, -OL,30.3
11/14/2022,11:48:30 AM,27.6, -OL, -OL,30.3
11/14/2022,11:48:40 AM,27.7, -OL, -OL,30.4
11/14/2022,11:48:50 AM,27.7, -OL, -OL,30.4
11/14/2022,11:49:00 AM,27.7, -OL, -OL,30.4
11/14/2022,11:49:10 AM,27.9, -OL, -OL,30.4
11/14/2022,11:49:20 AM,27.9, -OL, -OL,30.5
11/14/2022,11:49:30 AM,27.9, -OL, -OL,30.5
11/14/2022,11:49:40 AM,28.0, -OL, -OL,30.5
11/14/2022,11:49:50 AM,28.0, -OL, -OL,30.5
11/14/2022,11:50:00 AM,28.0, -OL, -OL,30.5
11/14/2022,11:50:10 AM,28.1, -OL, -OL,30.5
11/14/2022,11:50:20 AM,28.1, -OL, -OL,30.5
11/14/2022,11:50:30 AM,28.1, -OL, -OL,30.4
11/14/2022,11:50:40 AM,28.1, -OL, -OL,30.4
11/14/2022,11:50:50 AM,28.2, -OL, -OL,30.3
11/14/2022,11:51:00 AM,28.2, -OL, -OL,30.3
11/14/2022,11:51:10 AM,28.2, -OL, -OL,30.1
11/14/2022,11:51:20 AM,28.3, -OL, -OL,30.0
11/14/2022,11:51:30 AM,28.3, -OL, -OL,30.0
11/14/2022,11:51:40 AM,28.3, -OL, -OL,29.9
11/14/2022,11:51:50 AM,28.3, -OL, -OL,29.8
11/14/2022,11:52:00 AM,28.3, -OL, -OL,29.8
11/14/2022,11:52:10 AM,28.4, -OL, -OL,29.8
11/14/2022,11:52:20 AM,28.4, -OL, -OL,29.8
11/14/2022,11:52:30 AM,28.4, -OL, -OL,29.8
11/14/2022,11:52:40 AM,28.4, -OL, -OL,29.8
11/14/2022,11:52:50 AM,28.6, -OL, -OL,29.8
11/14/2022,11:53:00 AM,28.6, -OL, -OL,29.9
11/14/2022,11:53:10 AM,28.6, -OL, -OL,29.9
11/14/2022,11:53:20 AM,28.6, -OL, -OL,29.9
11/14/2022,11:53:30 AM,28.7, -OL, -OL,30.0
11/14/2022,11:53:40 AM,28.7, -OL, -OL,30.0
11/14/2022,11:53:50 AM,28.7, -OL, -OL,30.0
11/14/2022,11:54:00 AM,28.7, -OL, -OL,30.0
11/14/2022,11:54:10 AM,28.8, -OL, -OL,30.1
11/14/2022,11:54:20 AM,28.8, -OL, -OL,30.1
11/14/2022,11:54:30 AM,28.8, -OL, -OL,30.1
